uID,roomNumber,name,licensePlates
62823181,E-768,Nguyen Van A 1,66N-784.75
900465716,G-322,Nguyen Van A 2,77Y-308.96
311894754,B-305,Nguyen Van A 3,41H-849.79
917855128,E-405,Nguyen Van A 4,99D-443.64
637993297,Q-631,Nguyen Van A 5,13X-483.39
871826247,C-300,Nguyen Van A 6,39Y-418.83
964280294,E-417,Nguyen Van A 7,76I-969.85
707198124,K-925,Nguyen Van A 8,43G-695.46
968878707,E-318,Nguyen Van A 9,41T-361.34
822918336,F-341,Nguyen Van A 10,20W-122.81
168098131,G-236,Nguyen Van A 11,78B-191.63
618127945,K-316,Nguyen Van A 12,27D-782.83
684130357,I-868,Nguyen Van A 13,84Z-415.64
595946799,U-800,Nguyen Van A 14,13S-452.82
601878764,I-829,Nguyen Van A 15,23V-447.94
940410988,C-482,Nguyen Van A 16,14A-713.56
451111035,Q-559,Nguyen Van A 17,96F-180.50
224177386,W-914,Nguyen Van A 18,21X-905.12
409066322,D-293,Nguyen Van A 19,49P-324.81
641592531,T-659,Nguyen Van A 20,24G-750.25
865916808,N-516,Nguyen Van A 21,11O-716.24
648524892,X-330,Nguyen Van A 22,32Z-644.65
211295149,C-410,Nguyen Van A 23,93I-984.30
17033846,E-579,Nguyen Van A 24,93X-680.47
205863846,H-917,Nguyen Van A 25,99N-415.66
940399472,P-920,Nguyen Van A 26,95C-226.42
85230362,K-295,Nguyen Van A 27,86W-954.52
606814754,A-274,Nguyen Van A 28,33Q-698.70
242713130,O-110,Nguyen Van A 29,26H-296.54
638841776,T-478,Nguyen Van A 30,16H-770.33
373678129,U-739,Nguyen Van A 31,34L-289.91
113850304,O-999,Nguyen Van A 32,72W-723.34
816335469,Y-504,Nguyen Van A 33,18K-216.96
466162090,A-159,Nguyen Van A 34,43D-252.99
966272271,K-320,Nguyen Van A 35,26F-313.57
204681437,W-373,Nguyen Van A 36,53G-528.85
221305720,I-764,Nguyen Van A 37,91F-625.52
507201435,R-521,Nguyen Van A 38,29W-418.86
334736104,E-529,Nguyen Van A 39,82J-383.51
894632814,F-549,Nguyen Van A 40,22N-510.65
285461845,N-152,Nguyen Van A 41,63F-206.68
157717250,S-732,Nguyen Van A 42,70G-428.92
474202194,C-506,Nguyen Van A 43,63Y-201.83
609470929,W-647,Nguyen Van A 44,24H-703.51
680464682,G-886,Nguyen Van A 45,67G-947.25
776320308,X-919,Nguyen Van A 46,40S-734.99
708862932,S-986,Nguyen Van A 47,89T-343.95
808313182,C-849,Nguyen Van A 48,64I-776.34
276138857,Q-784,Nguyen Van A 49,13N-668.47
71418491,D-607,Nguyen Van A 50,32Z-366.30
992507900,M-783,Nguyen Van A 51,48O-405.14
726997127,F-542,Nguyen Van A 52,39Z-169.54
957703817,U-838,Nguyen Van A 53,29J-717.39
37229818,G-275,Nguyen Van A 54,79C-139.30
975929537,R-193,Nguyen Van A 55,62F-144.21
707862123,E-603,Nguyen Van A 56,92I-784.50
409571889,U-565,Nguyen Van A 57,31J-483.83
576377926,V-892,Nguyen Van A 58,51N-531.50
390807326,S-864,Nguyen Van A 59,87V-541.98
275892132,W-123,Nguyen Van A 60,91G-286.63
139975712,D-656,Nguyen Van A 61,41U-534.57
174777260,Y-997,Nguyen Van A 62,63I-726.17
478461018,H-441,Nguyen Van A 63,53I-651.24
409933349,Y-610,Nguyen Van A 64,38Q-118.74
490188689,P-293,Nguyen Van A 65,39R-986.83
589441057,J-956,Nguyen Van A 66,26B-888.41
128118000,R-396,Nguyen Van A 67,25A-899.16
818722617,P-558,Nguyen Van A 68,66B-390.45
567373658,Y-652,Nguyen Van A 69,45I-632.61
657580975,H-551,Nguyen Van A 70,23C-270.12
538336742,E-891,Nguyen Van A 71,67P-956.20
372696065,Z-462,Nguyen Van A 72,43E-998.83
963040571,S-877,Nguyen Van A 73,69X-153.85
549315803,B-118,Nguyen Van A 74,88U-634.90
396262965,B-449,Nguyen Van A 75,75W-613.72
499616652,I-410,Nguyen Van A 76,76V-143.80
831821771,K-460,Nguyen Van A 77,80K-464.49
492628142,W-523,Nguyen Van A 78,55U-416.76
11939577,H-327,Nguyen Van A 79,71B-654.43
688940950,Z-176,Nguyen Van A 80,33C-236.95
169065538,M-620,Nguyen Van A 81,45R-455.29
327422376,J-194,Nguyen Van A 82,98F-173.51
400147389,F-885,Nguyen Van A 83,74E-329.97
498043164,W-608,Nguyen Van A 84,14G-737.99
594032952,T-185,Nguyen Van A 85,83L-528.66
65287747,E-848,Nguyen Van A 86,99M-666.14
776015618,N-983,Nguyen Van A 87,67C-630.12
623412075,E-149,Nguyen Van A 88,16W-954.36
943452819,H-823,Nguyen Van A 89,84N-663.52
756677307,O-209,Nguyen Van A 90,70K-777.87
742787213,M-536,Nguyen Van A 91,87R-540.28
881429667,C-752,Nguyen Van A 92,95P-948.87
546132693,J-478,Nguyen Van A 93,66W-401.96
628326265,W-882,Nguyen Van A 94,28Q-309.52
128550072,Q-732,Nguyen Van A 95,31F-108.13
493737238,C-815,Nguyen Van A 96,58Z-460.68
459740869,Y-358,Nguyen Van A 97,30Y-121.83
685550146,A-365,Nguyen Van A 98,60W-386.99
875001745,T-522,Nguyen Van A 99,50O-663.42
891945874,N-791,Nguyen Van A 100,20E-803.93
814083982,L-515,Nguyen Van A 101,51F-188.88
723863628,A-721,Nguyen Van A 102,93B-404.69
387326853,L-298,Nguyen Van A 103,12J-275.70
368390319,O-461,Nguyen Van A 104,41H-128.14
541657924,O-179,Nguyen Van A 105,43A-235.99
281428520,V-427,Nguyen Van A 106,39Y-830.59
838558070,X-743,Nguyen Van A 107,30E-774.16
678653810,L-670,Nguyen Van A 108,75Z-691.88
676846588,Q-892,Nguyen Van A 109,90U-421.39
493307478,M-302,Nguyen Van A 110,88C-494.84
972397516,P-361,Nguyen Van A 111,25I-829.28
